Clade	Lowest_taxonomic_level	Kingdom	Phylum	Class	Order	Family	Genus	Species
546	s__Clostridium_hylemonae	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium hylemonae
547	s__Megasphaera_sp_UPII_199_6	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera sp UPII 199 6
548	s__Prevotella_sp_BV3P1	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp BV3P1
549	s__Prevotella_sp_oral_taxon_306	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp oral taxon 306
550	s__Prevotella_baroniae	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella baroniae
551	s__Bacillus_licheniformis	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus licheniformis
552	s__Lactobacillus_casei_paracasei	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus casei paracasei
553	s__Rothia_dentocariosa	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia	Rothia dentocariosa
554	s__Alloprevotella_rava	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella rava
555	s__Bacteroides_sp_2_1_16	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 2 1 16
556	s__Providencia_alcalifaciens	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	Providencia alcalifaciens
557	s__Leuconostoc_carnosum	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc carnosum
558	s__Leuconostoc_mesenteroides	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides
559	s__Bacteroides_pyogenes	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides pyogenes
560	s__Oribacterium_sp_ACB7	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sp ACB7
561	s__Odoribacter_laneus	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	Odoribacter laneus
562	s__Bacteroides_sp_9_1_42FAA	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 9 1 42FAA
563	s__Streptococcus_sp_GMD1S	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp GMD1S
564	s__Peptoniphilus_indolicus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus indolicus
565	s__Enterobacter_sp_MGH_14	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter sp MGH 14
566	s__Prevotella_melaninogenica	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica
567	s__Streptococcus_equinus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus equinus
568	s__Lachnospiraceae_bacterium_4_1_37FAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae bacterium 4 1 37FAA
569	s__Prevotella_nigrescens	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella nigrescens
570	s__Bacteroides_massiliensis	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides massiliensis
571	s__Enterobacter_sp_MGH_25	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter sp MGH 25
572	s__Cardiobacterium_hominis	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium	Cardiobacterium hominis
573	f__Microbacteriaceae	Family	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	NA	NA
574	s__Enterococcus_italicus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus italicus
575	s__Prevotella_sp_oral_taxon_473	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Prevotella sp oral taxon 473
576	s__Lactobacillus_versmoldensis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus versmoldensis
577	s__Staphylococcus_aureus	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus
578	g__Catenibacterium	Genus	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium	NA
579	s__Aeromonas_caviae	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae
580	s__Aeromonas_molluscorum	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas molluscorum
581	g__Aeromonas	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	NA
582	s__Pasteurella_pneumotropica	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella pneumotropica
583	g__Peptoniphilus	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	NA
584	s__Streptococcus_sp_F0441	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp F0441
585	s__Comamonas_testosteroni	Species	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni
586	s__Aeromonas_media	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas media
587	s__Campylobacter_sp_10_1_50	Species	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sp 10 1 50
588	s__Aeromonas_veronii	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii
589	g__Tolumonas	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	NA
590	s__Actinomyces_coleocanis	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces coleocanis
591	s__Granulicatella_adiacens	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	Granulicatella adiacens
592	s__Corynebacterium_pseudodiphtheriticum	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum
593	s__Lactobacillus_equi	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus equi
594	s__Clostridium_glycolicum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcaceae_noname	Clostridium glycolicum
595	g__Brachyspira	Genus	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Brachyspiraceae	Brachyspira	NA
596	f__Propionibacteriaceae	Family	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	NA	NA
597	s__Prevotella_pallens	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella pallens
598	s__Streptococcus_sp_GMD2S	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp GMD2S
599	g__Weissella	Genus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	NA
600	s__Streptomyces_sviceus	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces sviceus
601	s__Leuconostoc_citreum	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc citreum
602	s__Enhydrobacter_aerosaccus	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	Enhydrobacter aerosaccus
603	g__Sutterella	Genus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	NA
604	s__Peptostreptococcus_anaerobius	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus anaerobius
605	s__Pseudomonas_psychrophila	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas psychrophila
606	s__Peptoniphilus_lacrimalis	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Peptoniphilus	Peptoniphilus lacrimalis
607	s__Dialister_invisus	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister invisus
608	s__Bacteroides_eggerthii	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides eggerthii
609	g__Salmonella	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	NA
610	s__Clostridium_sp_7_3_54FAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp 7 3 54FAA
611	s__Peptostreptococcus_stomatis	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus stomatis
612	s__Megasphaera_sp_UPII_135_E	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera sp UPII 135 E
613	s__Enterobacter_sp_MGH_24	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter sp MGH 24
614	s__Bacteroides_sp_2_1_7	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp 2 1 7
615	s__Ralstonia_solanacearum	Species	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
616	s__Alloprevotella_tannerae	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella tannerae
617	s__Scardovia_inopinata	Species	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Scardovia inopinata
618	f__Vibrionaceae	Family	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	NA	NA
619	s__Enterococcus_malodoratus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus malodoratus
620	s__Neisseria_mucosa	Species	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa
621	s__Enterorhabdus_caecimuris	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Enterorhabdus	Enterorhabdus caecimuris
622	s__Eggerthella_sp_YY7918	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella	Eggerthella sp YY7918
623	s__Clostridium_saccharoperbutylacetonicum	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium saccharoperbutylacetonicum
624	g__Subdoligranulum	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	NA
625	s__Bacteroides_sp_D1	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp D1
626	s__Parabacteroides_sp_D25	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides sp D25
627	s__Eubacteriaceae_bacterium_OBRC8	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacteriaceae_noname	Eubacteriaceae bacterium OBRC8
628	g__Oribacterium	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	NA
629	s__Erysipelotrichaceae_bacterium_3_1_53	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_noname	Erysipelotrichaceae bacterium 3 1 53
630	s__Eikenella_corrodens	Species	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens
631	g__Eikenella	Genus	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	NA
632	s__Providencia_stuartii	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	Providencia stuartii
633	s__Simonsiella_muelleri	Species	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Simonsiella	Simonsiella muelleri
634	s__Neisseria_shayeganii	Species	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria shayeganii
635	s__Haemophilus_sp_oral_taxon_851	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus sp oral taxon 851
636	g__Proteus	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus	NA
637	s__Actinomyces_sp_oral_taxon_181	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp oral taxon 181
638	s__Dickeya_zeae	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Dickeya	Dickeya zeae
639	s__Actinomyces_sp_ph3	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp ph3
640	s__Lactobacillus_curvatus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus curvatus
641	s__Moraxella_catarrhalis	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	Moraxella catarrhalis
642	s__Atopobium_sp_oral_taxon_199	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium sp oral taxon 199
643	s__Streptococcus_macedonicus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus macedonicus
644	s__Enterococcus_columbae	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus columbae
645	s__Lactobacillus_coleohominis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus coleohominis
646	s__Streptococcus_peroris	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus peroris
647	s__Aeromonas_sp_MDS8	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp MDS8
648	s__Blautia_hydrogenotrophica	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hydrogenotrophica
649	g__Olsenella	Genus	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella	NA
650	s__Lachnospiraceae_bacterium_6_1_63FAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae bacterium 6 1 63FAA
651	g__Holdemania	Genus	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	NA
652	s__Rhodococcus_opacus	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus	Rhodococcus opacus
653	s__Campylobacter_lari	Species	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari
654	s__Cupriavidus_basilensis	Species	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus basilensis
655	s__Lachnospiraceae_bacterium_3_1_46FAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae bacterium 3 1 46FAA
656	s__Escherichia_sp_TW09231	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia sp TW09231
657	s__Eremococcus_coleocola	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Eremococcus	Eremococcus coleocola
658	s__Bacteroides_cellulosilyticus	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus
659	s__Fretibacterium_fastidiosum	Species	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Fretibacterium	Fretibacterium fastidiosum
660	g__Marvinbryantia	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia	NA
661	s__Oscillibacter_sp_KLE_1728	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter sp KLE 1728
662	s__Enterobacter_sp_638	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter sp 638
663	s__Coriobacterium_glomerans	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Coriobacterium	Coriobacterium glomerans
664	o__Fusobacteriales	Order	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	NA	NA	NA
665	s__Shuttleworthia_satelles	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia	Shuttleworthia satelles
666	s__Shewanella_benthica	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella benthica
667	s__Lachnospiraceae_bacterium_1_1_57FAA	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_noname	Lachnospiraceae bacterium 1 1 57FAA
668	s__Actinomyces_turicensis	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces turicensis
669	s__Actinomyces_odontolyticus	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus
670	s__Pseudoalteromonas_piscicida	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas piscicida
671	g__Flavobacteriia_noname	Genus	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriia_noname	Flavobacteriia_noname	Flavobacteriia_noname	NA
672	p__Bacteroidetes	Phylum	Bacteria	Bacteroidetes	NA	NA	NA	NA	NA
673	s__Neisseria_sicca	Species	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria sicca
674	s__Alistipes_sp_JC136	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp JC136
675	o__Flavobacteriales	Order	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NA	NA	NA
676	s__Oribacterium_sp_oral_taxon_108	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sp oral taxon 108
677	s__Paenibacillus_fonticola	Species	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus fonticola
678	s__Eggerthella_sp_HGA1	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella	Eggerthella sp HGA1
679	s__Erysipelotrichaceae_bacterium_21_3	Species	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_noname	Erysipelotrichaceae bacterium 21 3
680	g__Serratia	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	NA
681	s__Paraprevotella_clara	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella clara
682	s__Centipeda_periodontii	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Centipeda	Centipeda periodontii
683	g__Thermoanaerobacter	Genus	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	NA
684	s__Oribacterium_sinus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sinus
685	s__Aggregatibacter_sp_oral_taxon_458	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter sp oral taxon 458
686	g__Cryptosporidium	Genus	Eukaryota	Apicomplexa	Coccidia	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	NA
687	s__Slackia_heliotrinireducens	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Slackia	Slackia heliotrinireducens
688	s__Actinobacillus_ureae	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus ureae
689	s__Atopobium_vaginae	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium vaginae
690	s__Streptococcus_iniae	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus iniae
691	s__Dialister_micraerophilus	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	Dialister micraerophilus
692	s__Anaerococcus_tetradius	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus tetradius
693	s__Streptococcus_massiliensis	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus massiliensis
694	s__Mobiluncus_curtisii	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus curtisii
695	f__Synergistaceae	Family	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	NA	NA
696	g__Mitsuokella	Genus	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	NA
697	s__Histophilus_somni	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Histophilus	Histophilus somni
698	s__Enterococcus_saccharolyticus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus saccharolyticus
699	g__Cetobacterium	Genus	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	NA
700	g__Pantoea	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	NA
701	s__Enterococcus_casseliflavus	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus
702	s__Helicobacter_canadensis	Species	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter canadensis
703	g__Akkermansia	Genus	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	NA
704	s__Oscillibacter_sp_1_3	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter sp 1 3
705	o__Verrucomicrobiales	Order	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	NA	NA	NA
706	s__Oscillibacter_sp_KLE_1745	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	Oscillibacter sp KLE 1745
707	g__Barnesiella	Genus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella	NA
708	g__Erwinia	Genus	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	NA
709	s__Alistipes_sp_HGB5	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp HGB5
710	s__Sedimentibacter_sp_B4	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Sedimentibacter	Sedimentibacter sp B4
711	s__Olsenella_profusa	Species	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella	Olsenella profusa
712	s__Yokenella_regensburgei	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yokenella	Yokenella regensburgei
713	s__Erwinia_toletana	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	Erwinia toletana
714	s__Serratia_sp_S4	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia sp S4
715	s__Butyrivibrio_fibrisolvens	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio fibrisolvens
716	g__Ruminococcaceae_noname	Genus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_noname	NA
717	s__Succinispira_mobilis	Species	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succinispira	Succinispira mobilis
718	s__Anaerococcus_lactolyticus	Species	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XI_Incertae_Sedis	Anaerococcus	Anaerococcus lactolyticus
719	s__Aggregatibacter_actinomycetemcomitans	Species	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans
720	s__Prevotella_maculosa	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella maculosa
721	s__Actinomyces_sp_oral_taxon_172	Species	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp oral taxon 172
722	s__Prevotella_ruminicola	Species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella ruminicola
